,filename,emotion,text
0,angry_gd02_001_029.wav,<|zh|><|ANGRY|><|Speech|><|withitn|>,我也知道自己是大嘴巴。
1,angry_gd03_001_003.wav,<|zh|><|ANGRY|><|Speech|><|withitn|>,小心脚下，人行道上有个坑。
2,angry_gd03_001_007.wav,<|zh|><|ANGRY|><|Speech|><|withitn|>,让我再想想，真相已经上传了。
3,angry_gd03_001_008.wav,<|zh|><|ANGRY|><|Speech|><|withitn|>,这样，你就有时间挥拍打球了。
4,angry_gd03_001_025.wav,<|zh|><|ANGRY|><|Speech|><|withitn|>,最近很冷，风又大。
5,angry_gd03_001_036.wav,<|zh|><|ANGRY|><|Speech|><|withitn|>,三个，两个儿子，一个女儿。
6,angry_gd04_001_015.wav,<|zh|><|ANGRY|><|Speech|><|withitn|>,此消息立即在牙买加引起议论。
7,angry_gd04_001_017.wav,<|zh|><|ANGRY|><|Speech|><|withitn|>,大会还选举产生了新一届中央纪律检查委员会。
8,angry_gd05_001_008.wav,<|zh|><|ANGRY|><|Speech|><|withitn|>,对腐败问题一定要严惩。
9,angry_gd05_001_019.wav,<|zh|><|ANGRY|><|Speech|><|withitn|>,这是上次的劳务费，你数数。
10,angry_gd05_001_028.wav,<|zh|><|ANGRY|><|Speech|><|withitn|>,你就是磕头作揖，说好话，也得跟夏英挽回关系。
11,angry_gd06_001_012.wav,<|zh|><|ANGRY|><|Speech|><|withitn|>,大姐，这是我的全部家当，你一定得帮我。
12,angry_gd06_001_013.wav,<|zh|><|ANGRY|><|Speech|><|withitn|>,不是，关键是我见了他不知道说什么。
13,angry_gd06_001_016.wav,<|zh|><|ANGRY|><|Speech|><|withitn|>,还不迟到过阵子再说吧，休息一下。
14,angry_gd06_001_019.wav,<|zh|><|ANGRY|><|Speech|><|withitn|>,哪能事无巨细请教，丧失自己独立思考的精神。
15,angry_gd07_001_007.wav,<|zh|><|ANGRY|><|Speech|><|withitn|>,因此，掏耳朵只能清理外耳。
16,angry_gd07_001_013.wav,<|zh|><|ANGRY|><|Speech|><|withitn|>,月奶汤就是米酒水。
17,angry_gd07_001_015.wav,<|zh|><|ANGRY|><|Speech|><|withitn|>,临聘教师与在编教师都是老师，做好自己就够了。
18,angry_gd08_001_009.wav,<|zh|><|ANGRY|><|Speech|><|withitn|>,母女俩目前是租住在另一个社区。
19,angry_gd08_001_015.wav,<|zh|><|ANGRY|><|Speech|><|withitn|>,粮食米粉市场价格很快回调至涨价前水平。
20,angry_gd08_001_016.wav,<|zh|><|ANGRY|><|Speech|><|withitn|>,作为奥运狂热分子，他还不忘为选手默默加油。
21,angry_gd08_001_028.wav,<|zh|><|ANGRY|><|Speech|><|withitn|>,此网帖一出，立即被众人转发。
22,angry_gd09_001_001.wav,<|zh|><|NEUTRAL|><|Speech|><|withitn|>,分母大，分子小，自然摇号中签率较低。
23,angry_gd09_001_011.wav,<|zh|><|ANGRY|><|Speech|><|withitn|>,又走回来，坐在我左边，开始对我搂搂抱抱。
24,angry_gd09_001_013.wav,<|zh|><|ANGRY|><|Speech|><|withitn|>,我站在后面，腿脚都给压住了。
25,angry_gd09_001_014.wav,<|zh|><|ANGRY|><|Speech|><|withitn|>,明天记者将继续上路，找寻担忧爷。
26,angry_gd09_001_017.wav,<|zh|><|ANGRY|><|Speech|><|withitn|>,毕家兄弟再次傻眼。
27,angry_gd09_001_025.wav,<|zh|><|ANGRY|><|Speech|><|withitn|>,反对派武装使用的手雷。
28,angry_gd10_001_015.wav,<|zh|><|ANGRY|><|Speech|><|withitn|>,最终，他决定创办一家养老院。
29,angry_gd10_001_017.wav,<|zh|><|ANGRY|><|Speech|><|withitn|>,前一段时间，我们连续多次辟谣，澄清谣言。
30,angry_gd10_001_034.wav,<|zh|><|ANGRY|><|Speech|><|withitn|>,其次，水库水电站安全问题也很突出。
31,angry_gd11_001_006.wav,<|zh|><|ANGRY|><|Speech|><|withitn|>,据悉，美国和欧洲官员获邀参加。
32,angry_gd11_001_031.wav,<|zh|><|ANGRY|><|Speech|><|withitn|>,大慈寺街区的建设从政府主导转向企业经营。
33,angry_gd12_001_009.wav,<|zh|><|ANGRY|><|Speech|><|withitn|>,没好气的挂断信号。
34,angry_gd12_001_017.wav,<|zh|><|ANGRY|><|Speech|><|withitn|>,当年他一节课都没去上，不被荡掉才奇怪。
35,angry_gd12_001_025.wav,<|zh|><|ANGRY|><|Speech|><|withitn|>,就不像你们整天忧心忡忡，感觉天要塌了一样。
36,angry_gd12_001_026.wav,<|zh|><|ANGRY|><|Speech|><|withitn|>,我藏身到草甸子，不让别人发现就好。
37,angry_gd12_001_034.wav,<|zh|><|ANGRY|><|Speech|><|withitn|>,他们呢？这是我多年的老朋友来联络一下感情。
38,angry_gd01_001_001.wav,<|zh|><|ANGRY|><|Speech|><|withitn|>,英国的哲学家曾经说过。
39,angry_gd01_001_002.wav,<|zh|><|ANGRY|><|Speech|><|withitn|>,我老家在北京。
40,angry_gd01_001_003.wav,<|zh|><|EMO_UNKNOWN|><|Speech|><|withitn|>,我每个月打一次电话。
41,angry_gd01_001_004.wav,<|zh|><|ANGRY|><|Speech|><|withitn|>,你每次谈恋爱都像现在这样。
42,angry_gd01_001_005.wav,<|zh|><|ANGRY|><|Speech|><|withitn|>,很快你上大学就用得到了。
43,angry_gd01_001_006.wav,<|zh|><|ANGRY|><|Speech|><|withitn|>,已经播至该专辑最后一个声音。
44,angry_gd01_001_007.wav,<|zh|><|ANGRY|><|Speech|><|withitn|>,我和我朋友刚从巴厘岛回来。
45,angry_gd01_001_008.wav,<|zh|><|ANGRY|><|Speech|><|withitn|>,你的声音总是在我心里晃来晃去。
46,angry_gd01_001_009.wav,<|zh|><|ANGRY|><|Speech|><|withitn|>,我觉得并不是非要有特别的品质。
47,angry_gd01_001_011.wav,<|zh|><|ANGRY|><|Speech|><|withitn|>,工厂不把它直接排到大气中。
48,angry_gd01_001_012.wav,<|zh|><|ANGRY|><|Speech|><|withitn|>,没错，就是车门。另外两个人问他说。
49,angry_gd01_001_013.wav,<|zh|><|ANGRY|><|Speech|><|withitn|>,除非你打飞碟球，但这是不可能的。
50,angry_gd01_001_014.wav,<|zh|><|ANGRY|><|Speech|><|withitn|>,没听清，请问什么时间提醒你？
51,angry_gd01_001_015.wav,<|zh|><|ANGRY|><|Speech|><|withitn|>,这样无辜的人就不会被杀了。
52,angry_gd01_001_016.wav,<|zh|><|ANGRY|><|Speech|><|withitn|>,我必须一直通电才能工作。
53,angry_gd01_001_017.wav,<|zh|><|ANGRY|><|Speech|><|withitn|>,我和我的妻子盼望着和你见面。
54,angry_gd01_001_018.wav,<|zh|><|ANGRY|><|Speech|><|withitn|>,没有找到日程，走的时候请锁门。
55,angry_gd01_001_019.wav,<|zh|><|ANGRY|><|Speech|><|withitn|>,是一家制药公司的短期工。
56,angry_gd01_001_020.wav,<|zh|><|ANGRY|><|Speech|><|withitn|>,我们可以轮流开车。
57,angry_gd01_001_022.wav,<|zh|><|ANGRY|><|Speech|><|withitn|>,这是台湾地区最大的动物园。
58,angry_gd01_001_023.wav,<|zh|><|ANGRY|><|Speech|><|withitn|>,时候不早了，我来了，请指示。
59,angry_gd01_001_024.wav,<|zh|><|ANGRY|><|Speech|><|withitn|>,递给我一些彩球和纸花。
60,angry_gd01_001_026.wav,<|zh|><|ANGRY|><|Speech|><|withitn|>,你不应该害怕开始一段新的感情。
61,angry_gd01_001_027.wav,<|zh|><|ANGRY|><|Speech|><|withitn|>,我肯定会的，那我以后不问了。
62,angry_gd01_001_028.wav,<|zh|><|ANGRY|><|Speech|><|withitn|>,它实际会形成一氧化碳。
63,angry_gd01_001_029.wav,<|zh|><|ANGRY|><|Speech|><|withitn|>,我参加了一个有关全球变暖的集会。
64,angry_gd01_001_030.wav,<|zh|><|ANGRY|><|Speech|><|withitn|>,坐地铁只需要大约20分钟。
65,angry_gd01_001_031.wav,<|zh|><|ANGRY|><|Speech|><|withitn|>,下个月我姐姐要结婚了。
66,angry_gd01_001_032.wav,<|zh|><|ANGRY|><|Speech|><|withitn|>,我是顺路过来跟你告别的。
